caseid,Support,contrump,libtrump,self,republican
316229883,NA,0,0,1,1
316233550,1,0,0,1,0
316322268,1,0,0,1,0
316339169,1,0,0,1,0
316351233,0,0,0,1,1
316352649,1,0,0,1,0
316446076,NA,0,0,1,1
316498930,1,0,0,1,1
316581688,1,0,0,1,0
316590743,1,0,0,1,0
316590904,1,0,0,1,0
316603729,0,0,0,1,1
316606770,1,0,0,1,0
316693102,1,0,0,1,1
316693179,0,0,0,1,1
316693687,0,0,0,1,0
316693788,1,0,0,1,0
316700098,0,0,0,1,0
316700929,1,0,0,1,1
316707241,1,0,0,1,1
316713579,1,0,0,1,0
316753463,0,0,0,1,1
316870339,0,0,0,1,1
316871469,0,0,0,1,0
316904306,1,0,0,1,0
316983800,1,0,0,1,0
316983867,1,0,0,1,1
317008633,1,0,0,1,1
317027386,1,0,0,1,0
317027790,1,0,0,1,0
317031398,1,0,0,1,0
317032200,0,0,0,1,0
317037890,1,0,0,1,0
317067083,0,0,0,1,1
317119045,1,0,0,1,0
317124691,1,0,0,1,0
317127857,0,0,0,1,0
317155492,0,0,0,1,0
317157327,0,0,0,1,1
317158374,NA,0,0,1,0
317161677,1,0,0,1,0
317162089,1,0,0,1,0
317165185,0,0,0,1,0
317167042,0,0,0,1,1
317168779,1,0,0,1,0
317170250,1,0,0,1,0
317170511,1,0,0,1,0
317171250,1,0,0,1,1
317171900,0,0,0,1,0
317174638,0,0,0,1,1
317174697,1,0,0,1,0
317177920,0,0,0,1,1
317178025,1,0,0,1,0
317178059,1,0,0,1,0
317180291,1,0,0,1,0
317181234,0,0,0,1,0
317183263,0,0,0,1,1
317183342,1,0,0,1,1
317187398,1,0,0,1,0
317192085,1,0,0,1,0
317192092,1,0,0,1,0
317194730,1,0,0,1,1
317194766,1,0,0,1,0
317194772,NA,0,0,1,1
317194777,0,0,0,1,0
317195029,1,0,0,1,0
317195117,1,0,0,1,0
317195119,1,0,0,1,0
317195130,1,0,0,1,0
317195142,1,0,0,1,0
317196338,0,0,0,1,1
317196365,1,0,0,1,0
317196395,NA,0,0,1,0
317196410,1,0,0,1,1
317196425,0,0,0,1,1
317197602,1,0,0,1,0
317197774,NA,0,0,1,1
317197807,0,0,0,1,1
317198310,1,0,0,1,1
317199098,0,0,0,1,0
317199172,NA,0,0,1,0
317199186,0,0,0,1,0
317199209,0,0,0,1,0
317199230,1,0,0,1,0
317199319,1,0,0,1,0
317199426,1,0,0,1,1
317199457,1,0,0,1,0
317200425,1,0,0,1,0
317200458,0,0,0,1,1
317200473,1,0,0,1,0
317200522,1,0,0,1,0
317200535,0,0,0,1,1
317200590,1,0,0,1,0
317200615,1,0,0,1,1
317200619,0,0,0,1,1
317200636,1,0,0,1,0
317200674,1,0,0,1,0
317200743,1,0,0,1,0
317200843,NA,0,0,1,0
317200893,1,0,0,1,0
317201143,0,0,0,1,1
317201299,1,0,0,1,1
317201311,1,0,0,1,0
317201326,1,0,0,1,0
317201986,NA,0,0,1,0
317202045,0,0,0,1,0
317202320,1,0,0,1,0
317202347,1,0,0,1,0
317202360,1,0,0,1,0
317202392,0,0,0,1,0
317202402,1,0,0,1,0
317202471,0,0,0,1,1
317203779,1,0,0,1,0
317203851,1,0,0,1,1
317203935,1,0,0,1,1
317204041,0,0,0,1,1
317204287,NA,0,0,1,0
317204331,1,0,0,1,0
317204372,1,0,0,1,0
317204604,1,0,0,1,0
317205356,1,0,0,1,0
317205371,1,0,0,1,0
317205418,0,0,0,1,0
317205462,1,0,0,1,0
317205520,1,0,0,1,0
317205526,1,0,0,1,0
317205583,0,0,0,1,1
317206897,1,0,0,1,1
317206919,1,0,0,1,0
317207093,0,0,0,1,1
317207382,0,0,0,1,1
317207398,1,0,0,1,0
317207422,1,0,0,1,1
317208366,0,0,0,1,0
317208419,1,0,0,1,0
317208458,1,0,0,1,0
317208473,1,0,0,1,0
317208512,0,0,0,1,1
317208520,1,0,0,1,1
317208531,1,0,0,1,0
317208575,1,0,0,1,1
317209903,0,0,0,1,1
317210024,0,0,0,1,1
317210028,0,0,0,1,1
317210032,1,0,0,1,0
317212573,1,0,0,1,0
317212725,0,0,0,1,1
317212837,0,0,0,1,1
317213064,1,0,0,1,0
317213090,0,0,0,1,0
317214081,0,0,0,1,1
317215476,1,0,0,1,0
317215529,1,0,0,1,1
317215560,1,0,0,1,0
317215603,1,0,0,1,0
317217060,0,0,0,1,0
317218501,0,0,0,1,1
317218529,1,0,0,1,0
317218596,1,0,0,1,0
317218648,1,0,0,1,1
317218651,1,0,0,1,1
317218693,1,0,0,1,0
317218859,0,0,0,1,0
317218868,1,0,0,1,0
317220180,1,0,0,1,0
