y,treat,age,south,male,college,state
3,0,7.2,1,0,0,TX
2,0,2.5,0,0,1,NY
3,0,3.3,0,1,1,NY
2,1,2.4,0,1,0,PA
3,1,6,0,0,1,PA
2,0,6.4,0,0,0,OH
3,1,5.2,0,0,0,MO
2,1,3,0,0,1,MO
2,0,4.3,0,1,1,OR
1,1,4.5,0,1,1,CA
1,1,3.7,0,1,1,UT
3,0,6.1,1,1,0,AL
2,0,3.6,0,0,1,TN
3,1,6.2,0,0,0,NY
1,0,4.3,0,1,1,OH
3,0,5.2,0,0,1,CA
2,1,3.2,0,1,1,UT
1,1,4.3,0,1,1,CO
1,0,1.8,0,1,0,OK
2,0,3.4,1,0,1,TX
1,1,6.7,1,0,1,TX
3,0,4.3,0,0,0,TN
1,1,3.3,1,0,1,VA
2,1,2.7,1,1,1,NC
2,1,3.6,1,1,0,NC
3,0,4.5,1,0,0,GA
2,0,3,1,0,0,FL
1,1,4.5,1,0,1,FL
3,1,3.1,0,0,0,RI
2,1,1.8,0,1,0,NJ
3,0,2.7,0,0,0,PA
1,1,7.4,0,0,0,MI
3,1,2.5,0,1,0,IL
3,1,5.7,0,1,0,IL
1,1,3.9,0,1,1,WI
2,0,3.3,0,0,1,MN
1,0,4.7,0,1,1,IA
3,1,3.2,0,1,1,KS
3,0,7.5,0,0,0,ND
2,1,5.4,0,0,0,WA
3,0,7.6,1,0,0,AR
2,1,2.9,0,0,1,MD
2,1,3.7,1,0,0,FL
2,1,6.4,1,1,1,FL
2,1,4.6,1,0,1,TX
3,0,6.9,1,0,1,TX
3,1,5.1,0,0,1,RI
2,1,2.4,0,0,1,PA
3,1,3.4,0,1,1,OH
2,0,2.6,0,0,0,MI
3,0,5.9,0,1,1,IN
3,1,3.6,0,0,1,MO
2,1,7.9,0,0,1,NE
2,0,6.2,0,1,1,ND
1,0,5.9,0,1,1,CA
3,1,6.2,0,1,0,UT
3,1,3.3,1,1,1,TX
2,0,3.6,1,0,0,TX
2,0,7.3,1,0,0,VA
3,1,7.5,1,0,0,FL
1,0,4.7,0,0,1,DC
3,1,5.4,0,0,1,MA
3,0,6.4,0,1,1,CT
2,0,8.6,0,0,1,NY
1,1,2.5,0,1,1,NY
3,0,3.3,0,0,0,NJ
0,1,8.4,0,1,0,NJ
2,0,3.1,0,1,0,PA
3,0,6.3,0,1,1,OH
2,0,4.2,0,0,0,MI
2,0,2.5,0,0,1,IN
3,0,5.7,0,1,0,IN
4,1,4.7,0,1,0,NE
1,1,4.7,0,0,1,ID
1,1,2.4,0,0,1,KY
2,1,4.8,0,0,1,MD
1,1,4.3,1,0,1,VA
2,0,2.6,1,0,1,FL
3,1,2.9,0,0,1,PA
2,0,3.2,1,1,1,TX
2,0,7.8,0,0,1,DC
2,0,3.2,0,1,0,MA
1,1,2.7,0,1,1,CT
3,1,8.8,0,0,1,NY
3,0,8.2,0,0,0,PA
2,1,6.2,0,0,0,MI
2,1,3.5,0,1,0,MN
3,0,3.6,0,0,1,MO
2,1,5.1,0,1,1,MO
2,0,4.5,0,0,0,KS
3,0,2.9,0,0,0,ID
3,0,4.1,0,1,1,WA
3,0,5,0,1,0,CA
1,0,4.2,1,0,0,TX
3,0,4.1,1,0,0,TX
2,0,4.4,1,0,1,TX
3,0,7.1,1,1,1,LA
3,0,5,0,0,0,TN
3,0,3.3,0,0,1,WV
2,0,2.5,1,0,1,VA
3,1,6,1,1,1,GA
3,1,4.1,0,0,1,RI
3,0,2.1,0,0,1,CT
2,0,3.2,0,1,1,NJ
2,0,3.9,0,1,0,PA
2,0,5,0,0,1,IL
3,1,5.3,0,1,1,IL
3,0,5.3,0,0,0,WI
2,0,1.9,0,1,0,MN
3,0,6,0,0,1,MO
2,0,2.6,0,1,1,WA
2,0,3.8,0,0,1,CA
2,1,1.8,1,0,0,TX
2,0,3.3,0,1,0,TN
2,1,4.6,0,0,0,WV
3,0,5.4,1,0,0,NC
1,1,3.6,1,0,1,GA
1,1,2.1,0,0,1,MA
1,0,8.2,0,0,0,RI
2,0,2.7,0,1,1,NY
2,0,2.4,0,0,1,PA
2,1,2.7,0,1,1,OH
2,0,5.6,0,0,0,MI
2,1,6.1,0,0,0,MI
3,1,3.5,0,0,0,IN
1,0,2,0,0,1,MO
2,0,4.5,0,1,1,WA
3,0,3.5,0,1,0,WA
1,0,3.1,0,0,1,CA
1,0,3.4,1,0,1,TX
1,0,4.6,1,1,0,TX
3,1,2.8,1,1,1,TX
4,1,3.3,1,0,0,AL
2,1,4.8,0,1,1,MD
2,0,2.2,1,0,0,NC
3,0,2.6,1,1,1,GA
1,0,3.9,1,1,1,TX
2,1,2.1,0,1,0,RI
1,0,3.1,0,1,1,CT
2,0,6.6,0,0,0,NY
1,0,1.9,0,1,0,NJ
3,1,4.5,0,0,1,MO
2,0,7.6,0,0,0,NE
1,1,1.8,0,0,0,CA
0,1,5.1,0,1,1,CA
2,1,6.7,0,0,0,OK
2,0,2.7,0,0,1,MD
2,0,7.6,1,1,0,FL
2,1,7.8,1,0,1,FL
3,0,6.9,0,0,0,CT
4,1,2.3,0,0,1,NJ
3,1,5,0,0,0,PA
2,0,5.2,0,0,1,PA
3,0,6.8,0,0,0,OH
2,1,6.2,0,0,0,OH
3,1,2.6,0,0,1,MI
3,1,5.5,0,0,0,MI
2,0,2.8,0,0,1,MN
2,0,2.9,0,0,1,MO
3,1,7.3,0,1,0,ND
1,0,3.9,0,0,1,WA
1,0,7.8,0,0,0,UT
1,1,3.5,1,0,0,TX
3,0,4.5,0,1,1,KY
2,1,2.2,0,0,1,MD
1,1,3.2,1,0,1,FL
1,0,6.5,1,1,1,FL
1,1,2.2,0,0,0,OH
3,1,4.7,0,1,1,OH
2,1,3.4,0,1,0,IN
2,1,2.9,0,1,0,IL
2,0,5.5,0,0,0,MN
3,0,4.6,0,0,1,UT
2,1,2.8,1,1,0,AR
3,0,5.4,0,1,0,MD
1,0,3.4,1,0,1,FL
2,0,4.1,1,0,0,FL
1,0,4.1,0,0,1,NH
2,0,3.7,0,0,1,MA
3,1,3.4,0,1,1,NY
3,0,3.2,0,0,0,NY
1,1,8.4,0,1,1,PA
3,0,6.7,0,0,1,PA
3,1,4.7,0,0,0,IL
2,1,5.6,0,0,0,MN
3,0,4.4,0,0,0,IA
3,0,2.4,0,0,1,NE
3,0,2.8,0,0,1,ND
2,1,2.7,0,1,1,CA
2,1,3.7,0,0,1,CO
1,0,6.5,1,0,1,MS
1,1,5,0,0,1,TN
1,1,3,1,0,1,NC
3,0,3.1,1,1,1,TX
2,0,7.4,0,0,0,ME
2,0,3,0,1,1,NJ
1,0,3.7,0,0,1,PA
2,0,4.4,0,0,1,PA
1,1,2.1,0,1,0,OH
2,0,3.3,0,0,1,IN
3,1,3.2,0,1,0,WI
2,0,6.9,0,0,1,WI
2,1,4.8,0,0,1,MN
3,0,4.3,0,1,1,WA
1,0,4.2,0,0,1,OR
3,0,4.6,0,1,1,CA
1,1,4.4,0,1,1,CA
3,0,5.3,0,1,1,NV
2,0,5,0,0,0,CO
2,0,4.1,1,1,1,TX
1,0,3.7,1,1,1,FL
1,1,2.8,0,1,1,NJ
1,1,2.7,0,1,1,OH
3,0,3.5,0,0,1,MI
3,0,2.9,0,0,1,IN
3,0,3,0,0,0,IN
3,0,6,0,0,1,IL
2,0,2.8,0,1,1,WI
3,1,6.6,0,0,0,MT
2,1,4.1,0,0,1,CA
3,1,2.4,0,1,1,CA
1,1,4.2,0,1,1,CO
1,0,3.1,0,0,1,AZ
2,1,2.2,1,1,1,TX
1,1,2.8,1,1,1,TX
2,0,7.5,1,1,1,AR
3,0,5.6,0,0,0,MD
1,0,2.9,1,0,1,VA
2,1,2.6,1,0,0,VA
3,1,2.5,1,1,0,SC
2,1,4.4,1,0,0,GA
1,0,6.2,1,1,1,FL
3,1,5.1,0,0,0,NY
2,0,3,0,0,0,NJ
1,1,3.2,0,1,0,PA
2,0,2.1,0,0,1,OH
3,1,3,0,0,0,OH
2,1,3.3,0,0,1,MI
2,1,2.4,0,0,0,WI
3,1,6,0,0,0,WI
3,1,2,0,0,0,MN
3,0,3.3,0,0,0,MO
2,0,6.8,0,1,0,MO
3,1,2.7,0,1,1,CA
3,1,2.3,0,0,1,OK
1,1,6.8,1,1,1,TX
3,0,2.2,1,0,1,TX
1,0,3.7,1,0,1,MS
1,0,5.2,0,0,1,MD
3,0,2.6,1,0,1,NC
2,1,5.8,1,1,0,SC
1,0,3.3,1,1,1,FL
2,1,2.4,0,1,1,ME
2,1,4.4,0,0,1,CT
0,1,6.6,0,1,0,NY
3,0,2.5,0,1,0,NY
2,1,4.4,0,0,0,NY
2,1,2,0,1,0,PA
3,1,5.2,0,0,1,IA
4,1,6.6,0,1,0,MO
2,1,3.1,0,0,1,WA
4,1,6.7,0,0,1,OR
3,1,3.4,0,0,0,CA
3,1,4.9,0,0,1,AZ
2,1,4.5,0,0,1,OK
2,1,3.5,1,0,1,MS
3,1,2.3,1,0,1,AR
1,0,5.8,1,0,1,VA
2,1,4.1,1,1,1,GA
0,1,5.5,1,1,1,FL
1,0,6.8,1,1,1,FL
2,0,4.8,1,1,1,FL
3,1,3.1,0,0,1,NY
2,0,3.4,0,1,1,NJ
2,0,6.5,0,1,0,PA
3,0,4.5,0,1,0,PA
3,0,5.1,0,0,1,OH
2,0,4.9,0,1,1,MI
2,1,3.7,0,1,1,IN
3,0,3.2,0,1,1,WI
1,0,5,0,0,0,MT
2,1,3.9,0,1,1,CA
2,1,6.4,0,1,1,CA
3,1,3.6,0,1,0,CA
1,1,2.4,0,1,1,AZ
2,1,4.5,1,1,1,TX
