State,District,Grp_Buy,Strata75,Strata50,Inc_Republican,Hisp_To_2004,Hisp_To_2002,Hisp_To_2006,To_Change_2002,Statewide_Race_2006,Hisp_Perc_Reg,Nonhisp_To_2006,Nonhisp_To_2002,Nonhisp_To_2004,Nonhisp_Perc_Reg
California,1,50,0,1,0,75.30000305,47.09999847,47.90000153,0.800003052,1,6,54,49,69,94
California,2,0,1,0,1,73.09999847,38.59999847,50.90000153,12.30000305,1,5,63,45,74,95
California,3,75,1,0,1,78.09999847,53.20000076,66.59999847,13.39999771,1,4,64,42,68,96
California,4,0,0,0,1,79,50,65.69999695,15.69999695,1,4,68,47,75,96
California,6,0,0,1,0,86.5,45.79999924,66.90000153,21.10000229,1,4,75,53,84,96
California,7,0,0,1,0,83.59999847,50.29999924,58.59999847,8.299999237,1,9,59,43,74,91
California,9,0,0,1,0,73.90000153,38.29999924,53.29999924,15,1,6,61,42,69,94
California,10,0,0,1,0,81.5,49.09999847,58,8.900001526,1,6,63,47,75,94
California,11,0,0,0,1,75,42,55.20000076,13.20000076,1,10,61,44,72,90
California,12,0,0,1,0,76.19999695,38.79999924,52.09999847,13.29999924,1,9,61,46,76,91
California,13,50,0,1,0,78.69999695,38,55.40000153,17.40000153,1,13,58,39,70,87
California,14,0,0,1,0,76.5,39.20000076,53.09999847,13.89999771,1,5,66,50,78,95
California,15,0,0,1,0,84.59999847,46.5,61.20000076,14.70000076,1,8,63,44,75,92
California,16,0,0,1,0,81.69999695,42.70000076,60,17.29999924,1,14,60,40,72,86
California,17,0,0,1,0,71.59999847,45.90000153,52.5,6.599998474,1,10,63,43,75,90
California,18,100,0,0,0,43.40000153,36.79999924,39.20000076,2.400001526,1,21,45,36,42,79
California,19,0,0,0,1,66.5,37.40000153,47.5,10.09999847,1,12,60,44,68,88
California,21,75,1,0,1,68,37.40000153,45.5,8.099998474,1,17,56,42,68,83
California,23,0,1,0,0,81.69999695,44.59999847,52.59999847,8,1,13,63,42,75,87
California,24,0,1,0,1,83,46.20000076,53.20000076,7,1,9,62,49,80,91
California,41,50,0,1,1,67.80000305,32.79999924,26.10000038,-6.699998856,1,10,24,38,67,90
California,43,0,0,1,0,60.40000153,27.89999962,28.70000076,0.800001144,1,28,25,26,51,72
California,44,50,0,1,1,69.40000153,30,44,14,1,15,53,36,69,85
California,49,50,0,1,1,73.09999847,34.79999924,46,11.20000076,1,11,59,44,74,89
California,50,0,0,1,1,81.19999695,40.59999847,54.29999924,13.70000076,1,6,64,48,78,94
California,51,0,0,1,0,71.40000153,39.40000153,33.09999847,-6.300003052,1,29,41,39,64,71
California,52,50,0,1,1,82.09999847,43.29999924,52.59999847,9.299999237,1,6,61,49,78,94
California,53,50,0,1,0,75.59999847,37.5,47,9.5,1,9,55,39,69,91
Connecticut,1,0,0,1,0,45,18.64999962,14.35000038,-4.299999237,1,7,22,21,58,93
Connecticut,3,0,1,0,0,41.52000046,12.28999996,7.360000134,-4.929999828,1,5,13,21,51,95
Delaware,,0,1,0,1,54.90999985,24.75,28.79999924,4.049999237,1,4,46,40,67,96
Florida,1,0,0,0,1,59.16999817,30.87999916,28.72999954,-2.149999619,1,2,34,36,60,98
Florida,4,0,1,0,1,62.59999847,33.50999832,30.59000015,-2.919998169,1,3,38,42,65,97
Florida,5,0,0,0,1,55.40000153,27.53000069,30,2.469999313,1,4,40,39,60,96
Florida,6,0,0,0,1,59.5,29.70000076,29.18000031,-0.520000458,1,3,40,39,64,97
Florida,7,0,1,0,1,59.70000076,30.95000076,30.05999947,-0.890001297,1,5,40,41,64,95
Florida,8,0,1,0,1,53.54000092,27.15999985,23.87999916,-3.280000687,1,12,40,39,63,88
Florida,10,75,1,0,1,59.15000153,35.90999985,30.81999969,-5.090000153,1,3,38,45,63,97
Florida,14,0,0,1,1,74.30999756,25.07999992,23.20000076,-1.879999161,1,4,41,39,74,96
Florida,15,0,1,0,1,52.25,26.28000069,24.29000092,-1.989999771,1,8,40,42,64,92
Florida,16,0,1,0,1,52.86999893,27.13999939,27.45999908,0.319999695,1,5,39,40,60,95
Florida,18,0,0,1,1,71.5,48.33000183,37.97999954,-10.35000229,1,31,35,37,60,69
Florida,21,0,0,1,1,69.91000366,44.31999969,34.49000168,-9.829998016,1,41,37,40,61,59
Florida,24,50,0,1,1,59.97999954,30.25,28.62999916,-1.620000839,1,7,41,42,66,93
